timestamp,id,project,status,correct,final_answer,tokens,cost_usd,elapsed_s
2026-06-04T15:55:18+00:00,CYTEONTO_001,papers/CyteOnto,ok,False,EXECUTION_REQUIRED — Auto-flagged by the integrity guard: this answer did not co,388043,0.1106,151.2
2026-06-04T15:58:57+00:00,CYTEONTO_002,papers/CyteOnto,ok,False,EXECUTION_REQUIRED — Auto-flagged by the integrity guard: this answer did not co,261114,0.0751,125.6
2026-06-04T16:08:57+00:00,CYTEONTO_003,papers/CyteOnto,timeout,,,,,600.0
2026-06-04T16:12:00+00:00,GWAS_EPISTASIS_BIAS_001,papers/GWAS-Epistasis-Bias,ok,True,5.0369820108922107e-08,347935,0.1013,182.4
2026-06-04T16:22:01+00:00,GWAS_EPISTASIS_BIAS_002,papers/GWAS-Epistasis-Bias,timeout,,,,,600.0
2026-06-04T16:25:03+00:00,GWAS_EPISTASIS_BIAS_003,papers/GWAS-Epistasis-Bias,ok,False,EXECUTION_REQUIRED — Auto-flagged by the integrity guard: this answer did not co,318345,0.0957,182.1
2026-06-04T16:32:01+00:00,USHER_002,papers/USHER,ok,False,EXECUTION_REQUIRED — missing required dataset/model files: USHER/repo/USHER/data,1465464,0.3996,418.3
2026-06-04T16:32:47+00:00,SENTIEON_CLI_001,papers/sentieon-cli,ok,True,CONSERVATIVE,103208,0.0303,45.7
2026-06-04T16:33:41+00:00,GWPROT_001,papers/GWProt,ok,True,54 protein structures,36392,0.0163,54.5
2026-06-04T16:36:18+00:00,GWPROT_002,papers/GWProt,ok,False,EXECUTION_REQUIRED — Auto-flagged by the integrity guard: this answer did not co,557179,0.1491,157.2
2026-06-04T16:42:40+00:00,LARIS_001,papers/LARIS,ok,True,8774,1670093,0.4439,381.8
2026-06-04T16:48:12+00:00,LARIS_002,papers/LARIS,ok,False,2951,1847491,0.4838,331.8
2026-06-04T16:55:47+00:00,LARIS_003,papers/LARIS,ok,True,SEMA4A,2433882,0.6374,455.6
2026-06-04T16:58:18+00:00,SC_FRAMEWORK_001,papers/SC-Framework,ok,True,5000 cells,401885,0.1101,150.9
2026-06-04T17:08:20+00:00,SEGMA_001,papers/segma,timeout,,,,,600.0
2026-06-04T17:15:22+00:00,SCISTREECNA_001,papers/ScisTreeCNA,exit_1,,,,,422.1
2026-06-04T17:24:42+00:00,SCISTREECNA_003,papers/ScisTreeCNA,ok,True,0.4827586206896552,2969257,0.7977,560.1
2026-06-04T17:26:55+00:00,DISTORTIONS_001,papers/distortions,ok,True,36,687728,0.1835,132.5
2026-06-04T17:31:43+00:00,DISTORTIONS_005,papers/distortions,ok,False,9,1334846,0.3513,288.0
